id,Last Name,First Name,SSN,Test1,Test2,Test3,Test4,Final,Grade
1,Alfalfa,Aloysius,123-45-6789,40,90,100,83,49,D-
2,Alfred,University,123-12-1234,41,97,96,97,48,D+
3,Gerty,Gramma,567-89-0123,41,80,60,40,44,C
4,Android,Electric,087-65-4321,42,23,36,45,47,B-
5,Bumpkin,Fred,456-78-9012,43,78,88,77,45,A-
6,Rubble,Betty,234-56-7890,44,90,80,90,46,C-
7,Noshow,Cecil,345-67-8901,45,11,-1,4,43,F
8,Buff,Bif,632-79-9939,46,20,30,40,50,B+
9,Airpump,Andrew,223-45-6789,49,1,90,100,83,A
10,Backus,Jim,143-12-1234,48,1,97,96,97,A+
11,Carnivore,Art,565-89-0123,44,1,80,60,40,D+
12,Dandy,Jim,087-75-4321,47,1,23,36,45,C+
13,Elephant,Ima,456-71-9012,45,1,78,88,77,B-
14,Franklin,Benny,234-56-2890,50,1,90,80,90,B-
15,George,Boy,345-67-3901,40,1,11,-1,4,B
16,Heffalump,Harvey,632-79-9439,30,1,20,30,40,C
17,De Paul,Martin,829-34-3412,34,49,12,90,34,B+
18,Madrigal,Jay,309-12-4312,18,2,34,34,5,F
19,Osborne,Demi,025-24-7821,50,98,100,89,99,A
20,Garrett,Keith,723-35-9082,23,53,10,34,84,C+
